,0,1,2,3
0,"39 Jeffton Crescent, Toronto, ON•Woburn","$2,300",3 bed,•1 bath
1,"31 Sharbot Avenue, Toronto, ON•Woburn","$2,500",3 bed,•2 bath
2,"23 Sierra Drive, Toronto, ON•Dorset Park","$3,100",4+2 bed,•4 bath
3,"BSMT-42 Altamond Road, Toronto, ON•Newtonbrook West","$2,500",2 bed,•1 bath
4,"BSMT-281 Betty Ann Drive, Toronto, ON•Willowdale West","$1,590",2 bed,•1 bath
5,"BAMNT-115 Lilian Drive, Toronto, ON•Wexford-Maryvale","$1,450",3 bed,•1 bath
6,"428 Millwood Road, Toronto, ON•Mount Pleasant East","$2,455,000",3+1 bed,•5 bath
7,"740 Meadowvale Road, Toronto, ON•Highland Creek","$2,700",3+1 bed,•3 bath
8,"27 Mansion Avenue, Toronto, ON•Oakridge","$2,500",2+1 bed,•2 bath
9,"LOWER-445 Ontario Street, Toronto, ON•Moss Park","$2,150",1 bed,•1 bath
10,"20 Munro Boulevard, Toronto, ON•St. Andrew-Windfields","$4,500",4 bed,•4 bath
11,"57 Oakworth Crescent, Toronto, ON•Ionview","$2,700",3+1 bed,•2 bath
12,"241 Mckee Avenue, Toronto, ON•Willowdale East","$6,800",5 bed,•5 bath
13,"216 William Street, Toronto, ON•Weston","$1,850",2 bed,•1 bath
14,"152 Aileen Avenue, Toronto, ON•Keelesdale-Eglinton West","$2,300",2 bed,•1 bath
15,"LOWER-50 Euclid Avenue, Toronto, ON•Trinity-Bellwoods","$2,100",1 bed,•1 bath
16,"6 Woodmere Court, Toronto, ON•Edenbridge-Humber Valley","$7,950",4+1 bed,•4 bath
17,"UPPER-42 Moore Park Avenue, Toronto, ON•Newtonbrook West","$1,250",1 bed,•1 bath
18,"310 Aylesworth Avenue, Toronto, ON•Birchcliffe-Cliffside","$3,100",4 bed,•4 bath
19,"68 Placentia Boulevard, Toronto, ON•Agincourt North","$2,950",4+1 bed,•3 bath
20,"201-1530 King Street, Toronto, ON•South Parkdale","$2,400",2 bed,•1 bath
21,"2-230 South Kingsway Avenue, Toronto, ON•High Park-Swansea","$2,950",2 bed,•1 bath
22,"84 Aylesworth Avenue, Toronto, ON•Birchcliffe-Cliffside","$3,950",4 bed,•5 bath
23,"50 Euclid Avenue, Toronto, ON•Trinity-Bellwoods","$4,100",2 bed,•2 bath
24,"485 Spadina Road, Toronto, ON•Forest Hill South","$6,500",3+1 bed,•5 bath
25,"MAIN LV-82 Faye Drive, Toronto, ON•Pleasant View","$2,000",1 bed,•2 bath
26,"50 Wharnsby Drive, Toronto, ON•Rouge E11","$1,600",1 bed,•1 bath
27,"BASEMEN-120 Nortonville Drive, Toronto, ON•Tam O'Shanter-Sullivan","$1,550",2 bed,•1 bath
28,"LOWER-154 Wallace Avenue, Toronto, ON•Dovercourt-Wallace Emerson-Junction","$1,300",2 bed,•1 bath
29,"MAIN-74 Constance Street, Toronto, ON•High Park-Swansea","$2,500",1 bed,•2 bath
30,"MAIN-142 Combe Avenue, Toronto, ON•Bathurst Manor","$4,800",3+1 bed,•2 bath
31,"-MAIN-984 Kennedy Road, Toronto, ON•Ionview","$2,000",3 bed,•1 bath
32,"379 Glengrove Avenue, Toronto, ON•Lawrence Park South","$6,900",5+2 bed,•5 bath
33,"505 Dawes Road, Toronto, ON•O'Connor-Parkview","$2,250",2 bed,•1 bath
34,"364 Lawrence Avenue, Toronto, ON•Bedford Park-Nortown","$3,998",2+1 bed,•3 bath
35,"21 Burncrest Drive, Toronto, ON•Bedford Park-Nortown","$2,500",2 bed,•1 bath
36,"456 Glengarry Avenue, Toronto, ON•Bedford Park-Nortown","$1,750",2 bed,•1 bath
37,"163 Queenslea Avenue, Toronto, ON•Humberlea-Pelmo Park W4","$1,500",1 bed,•1 bath
38,"734 Willard Avenue, Toronto, ON•Runnymede-Bloor West Village","$1,099,990",3 bed,•3 bath
39,"(MAIN)-129 Westbourne Avenue, Toronto, ON•Clairlea-Birchmount","$2,300",3 bed,•1 bath
40,"18 Haymarket (bsmt) Road, Toronto, ON•Downsview-Roding-CFB","$1,800",3 bed,•1 bath
41,"18 Haymarket (main) Road, Toronto, ON•Downsview-Roding-CFB","$2,300",3 bed,•1 bath
42,"5 Bluebell Gate, Toronto, ON•Maple Leaf","$2,750",3 bed,•2 bath
43,"62 Patricia Avenue, Toronto, ON•Newtonbrook West","$1,200",1 bed,•1 bath
44,"BSMT-33 Bald Eagle Avenue, Toronto, ON•Rouge E11","$1,400",2 bed,•1 bath
45,"LOWER-46 Bretton Court, Toronto, ON•Milliken","$1,800",3 bed,•1 bath
46,"80 Broadlands Boulevard, Toronto, ON•Parkwoods-Donalda","$3,300",3 bed,•2 bath
47,"UPPER-46 Bretton Court, Toronto, ON•Milliken","$2,100",3 bed,•1 bath
48,"115 Lowcrest Boulevard, Toronto, ON•Tam O'Shanter-Sullivan","$2,499",3 bed,•2 bath
49,"UPPER-89 Tiago Avenue, Toronto, ON•O'Connor-Parkview","$2,700",4 bed,•2 bath
50,"1ST/2ND-1329 Woodbine Avenue, Toronto, ON•Danforth Village-East York","$3,500",3 bed,•2 bath
51,"BSMT-1329 Woodbine Avenue, Toronto, ON•Danforth Village-East York","$1,600",1 bed,•1 bath
52,"MAIN-54 Stadacona Drive, Toronto, ON•Clanton Park","$1,975",2 bed,•1 bath
53,"4-231 Carlton Street, Toronto, ON•Moss Park","$2,000",1 bed,•1 bath
54,"268 Joicey Boulevard, Toronto, ON•Bedford Park-Nortown","$7,900",4+1 bed,•6 bath
55,"310 Hidden Trail, Toronto, ON•Westminster-Branson","$4,600",4+1 bed,•4 bath
56,"BSMT-40 Stansbury Crescent, Toronto, ON•Bendale","$1,600",2 bed,•1 bath
57,"130 Roselawn Avenue, Toronto, ON•Yonge-Eglinton","$4,500",4 bed,•2 bath
58,"MAIN-26 Galloway Road, Toronto, ON•Guildwood","$2,380",3 bed,•1 bath
59,"BSMT-45 Nelson Street, Toronto, ON•Woburn","$1,750",2 bed,•1 bath
60,"165 Spalding Road, Toronto, ON•Downsview-Roding-CFB","$2,300",4 bed,•2 bath
61,"93 Kersdale Road, Toronto, ON•Keelesdale-Eglinton West","$1,800",2 bed,•1 bath
62,"86 Ravenbury Road, Toronto, ON•Don Valley Village","$2,650",3+1 bed,•2 bath
63,"31 Morton Road, Toronto, ON•East End-Danforth","$2,950",3 bed,•2 bath
64,"134 Laurelcrest Avenue, Toronto, ON•Clanton Park","$3,300",3 bed,•2 bath
65,"2ND FL-426 Kingston Road, Toronto, ON•The Beaches","$1,695",1 bed,•1 bath
66,"6 Bankfield Drive, Toronto, ON•Thistletown-Beaumonde Heights","$2,250",3 bed,•1 bath
67,"4 Freeman Street, Toronto, ON•Birchcliffe-Cliffside","$3,499",2+1 bed,•2 bath
68,"UPPER-429 Grace Street, Toronto, ON•Annex","$2,290",2 bed,•1 bath
69,"199 Norton Avenue, Toronto, ON•Willowdale East","$8,000",4+1 bed,•7 bath
70,"15 Kathrose Drive, Toronto, ON•Pleasant View","$3,800",5 bed,•4 bath
71,"MAIN FL-516 Beresford Avenue, Toronto, ON•Runnymede-Bloor West Village","$2,800",2+1 bed,•1 bath
72,"130 Maclean Avenue, Toronto, ON•The Beaches","$6,500",3+1 bed,•4 bath
73,"6 Silvergrove Road, Toronto, ON•St. Andrew-Windfields","$4,000",3+2 bed,•4 bath
74,"56 Arkley Crescent, Toronto, ON•Willowridge-Martingrove-Richview","$2,200",3 bed,•1 bath
75,"195 Moore Park Avenue, Toronto, ON•Newtonbrook West","$2,000",2 bed,•1 bath
76,"4 Cherryhill Avenue, Toronto, ON•Centennial Scarborough","$3,000",4 bed,•2 bath
77,"BSMT-5 Midcroft Drive, Toronto, ON•Agincourt South-Malvern West","$1,400",2 bed,•1 bath
78,"557 Brimley Road, Toronto, ON•Eglinton East","$1,550",2 bed,•1 bath
79,"30 Maida Vale Avenue, Toronto, ON•Ionview","$1,250",2 bed,•1 bath
80,"139 Underhill Drive, Toronto, ON•Parkwoods-Donalda","$3,800",4+1 bed,•3 bath
81,"124 Confederation Drive, Toronto, ON•Woburn","$2,400",3 bed,•1 bath
82,"146 Bowie Avenue, Toronto, ON•Briar Hill-Belgravia","$3,000",2+1 bed,•2 bath
83,"85 Albertus Avenue, Toronto, ON•Lawrence Park South","$3,500",3 bed,•2 bath
84,"BSMT-49 Graylee Avenue, Toronto, ON•Eglinton East","$1,550",2 bed,•1 bath
85,"2130 Sheppard Avenue, Toronto, ON•Glenfield-Jane Heights","$3,700",3+1 bed,•3 bath
86,"6 Olsen Drive, Toronto, ON•Parkwoods-Donalda","$3,890",3+2 bed,•4 bath
87,"130 Westbourne Avenue, Toronto, ON•Clairlea-Birchmount","$3,000",4 bed,•2 bath
88,"266 Upper Highland Crescent, Toronto, ON•St. Andrew-Windfields","$4,200",4 bed,•2 bath
89,"29 Vessel Crescent, Toronto, ON•West Hill","$2,900",4+1 bed,•4 bath
90,"34 Foxwarren Drive, Toronto, ON•Bayview Village","$3,650",3+2 bed,•3 bath
91,"428 Staines Road, Toronto, ON•Rouge E11","$2,600",4 bed,•3 bath
92,"LOWER-31 Cotton Avenue, Toronto, ON•Clairlea-Birchmount","$2,250",2 bed,•2 bath
93,"MAIN-31 Cotton Avenue, Toronto, ON•Clairlea-Birchmount","$2,300",2 bed,•1 bath
94,"MAIN-9 Valerie Road, Toronto, ON•Dorset Park","$2,100",2 bed,•1 bath
95,"15 Glanvil Crescent, Toronto, ON•Malvern","$1,300",1 bed,•1 bath
96,"17 Laurelcrest Avenue, Toronto, ON•Clanton Park","$3,100",3+1 bed,•2 bath
97,"62 Alicewood (upper) Court, Toronto, ON•West Humber-Clairville","$2,300",3 bed,•2 bath
98,"(MAIN)-6 Highwood Avenue, Toronto, ON•Wexford-Maryvale","$2,350",3 bed,•1 bath
99,"141 Fairholme Avenue, Toronto, ON•Englemount-Lawrence","$4,600",3+3 bed,•3 bath
100,"MAIN/2-66 North Woodrow Boulevard, Toronto, ON•Clairlea-Birchmount","$3,600",4 bed,•4 bath
101,"LOWER-782 Cummer Avenue, Toronto, ON•Bayview Woods-Steeles","$1,950",1 bed,•1 bath
102,"MAIN-977 Dupont Street, Toronto, ON•Dovercourt-Wallace Emerson-Junction","$2,195",1 bed,•1 bath
103,"753 Richmond Street, Toronto, ON•Niagara","$3,600",2+1 bed,•2 bath
104,"42 Romney Road, Toronto, ON•Lansing-Westgate","$6,250",4+1 bed,•6 bath
105,"MAIN-405 Bedford Park Avenue, Toronto, ON•Bedford Park-Nortown","$4,200",3 bed,•3 bath
106,"UPPER-44 Wilson Park Road, Toronto, ON•Roncesvalles","$2,200",2 bed,•1 bath
107,"MAIN-44 Wilson Park Road, Toronto, ON•Roncesvalles","$3,200",3 bed,•1 bath
108,"43 Don Valley Drive, Toronto, ON•Broadview North","$1,899",2 bed,•1 bath
109,"MASTER-71 Snowy Owl Way, Toronto, ON•Rouge E11",$800,1 bed,•1 bath
110,"306 Cook Road, Toronto, ON•York University Heights",$650,1 bed,•1 bath
111,"35 Kirkdene Drive, Toronto, ON•Rouge E10","$2,700",3 bed,•3 bath
112,"36 Fairfield Road, Toronto, ON•Mount Pleasant East","$3,490",3 bed,•2 bath
113,"263 Hounslow Avenue, Toronto, ON•Willowdale West","$3,100",3 bed,•2 bath
114,"130 Annette Street, Toronto, ON•High Park North","$2,495",2 bed,•1 bath
115,"905-25 Stafford Street West, Toronto, ON•Niagara","$3,500",2 bed,•2 bath
116,"147 Calvery Trail, Toronto, ON•Highland Creek","$2,300",4 bed,•3 bath
117,"235 Parkview Hill Crescent, Toronto, ON•O'Connor-Parkview","$3,500",2+1 bed,•2 bath
118,"108 Brooke Avenue, Toronto, ON•Bedford Park-Nortown","$4,250",4+1 bed,•4 bath
119,"B-149 Kitchener Avenue, Toronto, ON•Caledonia-Fairbank","$2,500",2+1 bed,•1 bath
120,"BSMT-47 Knowles Drive, Toronto, ON•Rouge E11","$1,400",1 bed,•1 bath
121,"314 Jedburgh Road, Toronto, ON•Lawrence Park North","$4,500",3+1 bed,•3 bath
122,"BSMT-1 Martindale Road, Toronto, ON•Cliffcrest","$1,550",2 bed,•1 bath
123,"MAIN-25 Dallas Road, Toronto, ON•Newtonbrook West","$2,850",3 bed,•2 bath
124,"191 Woodsworth Road, Toronto, ON•St. Andrew-Windfields","$3,300",3+2 bed,•2 bath
125,"155 Oakmeadow Boulevard, Toronto, ON•Morningside","$1,300",1 bed,•1 bath
126,"BSMT-76 Captain Hall Court, Toronto, ON•Milliken","$1,500",2 bed,•1 bath
127,"LOWER-24 Citation Drive, Toronto, ON•Bayview Village","$1,900",2 bed,•1 bath
128,"96 Churchill Avenue, Toronto, ON•Willowdale West","$3,500",3 bed,•1 bath
129,"46 Struthers Street, Toronto, ON•Mimico","$2,900",2+1 bed,•2 bath
130,"BSMT-40 Sunray Crescent, Toronto, ON•Downsview-Roding-CFB","$1,200",1 bed,•1 bath
131,"MAIN/BM-151 Westbourne Avenue, Toronto, ON•Clairlea-Birchmount","$2,600",3 bed,•2 bath
132,"LOWER F-326 Connaught Avenue, Toronto, ON•Newtonbrook West","$1,700",1 bed,•1 bath
133,"28 Stamford Square, Toronto, ON•Clairlea-Birchmount","$2,700",3+1 bed,•2 bath
134,"40 Hill Crescent, Toronto, ON•Scarborough Village","$2,450",3 bed,•2 bath
135,"31 Culnan Avenue, Toronto, ON•Islington-City Centre West","$3,200",2+2 bed,•2 bath
136,"60 Melrose Avenue, Toronto, ON•Lawrence Park North","$3,250",4 bed,•2 bath
137,"224 Patricia Avenue, Toronto, ON•Newtonbrook West","$2,350",3 bed,•1 bath
