,address,price,details,type
1,"1285 Pacific Highway #102, San Diego, CA 92101","$1,150,000","2 bds | 3 ba | 1,668 sqft",condominium for sale
2,"550 Front St #1404, San Diego, CA 92101","$1,329,900","2 bds | 3 ba | 1,596 sqft",condominium for sale
3,"69 Antigua Court, Coronado, CA 92118","$1,125,000","2 bds | 2 ba | 1,860 sqft",condominium for sale
4,"2638 Teresita St, San Diego, CA 92104","$1,149,999","3 bds | 2 ba | 1,816 sqft",house for sale
5,"4211 Utah 4, San Diego, CA 92104","$757,000",2 bds | 3 ba | -- sqft,condominium for sale
6,"4766-4768 Bermuda Ave, San Diego, CA 92107","$1,400,000","4 bds | 2 ba | 1,437 sqft",multi family for sale
7,"1099 1st, Coronado, CA 92118","$1,895,000","2 bds | 2 ba | 1,644 sqft",condominium for sale
8,"5111 Brighton, San Diego, CA 92107","$1,450,000","3 bds | 3 ba | 1,834 sqft",house for sale
9,"14955 Avenida Venusto #8, San Diego, CA 92128","$488,000","2 bds | 2 ba | 1,152 sqft",mobile manufactured for sale
10,"3271 Thorn St, San Diego, CA 92104","$925,000","3 bds | 2 ba | 1,216 sqft",house for sale
11,"2650 Broadway #303, San Diego, CA 92102","$246,000",1 bds | 1 ba | 405 sqft,condominium for sale
12,"18515 Caminito Pasadero #341, San Diego, CA 92128","$340,000",1 bds | 1 ba | 814 sqft,condominium for sale
13,"9405 Gold Coast Dr #a3, San Diego, CA 92126","$329,900","2 bds | 2 ba | 1,104 sqft",condominium for sale
14,"415-417 Pomona Ave, Coronado, CA 92118","$4,867,500",-- bds | -- ba | -- sqft,multi family for sale
15,"17199 W Bernardo Dr #105, San Diego, CA 92127","$345,000",2 bds | 1 ba | 874 sqft,condominium for sale
16,"2817 Nipoma Street, San Diego, CA 92106","$800,000",2 bds | 1 ba | 900 sqft,house for sale
17,"4555-57 36th Street, San Diego, CA 92116","$1,299,000",-- bds | -- ba | -- sqft,multi family for sale
